# Constructed from biom file																								
#OTU ID	19-03-26-R1-N1-A	19-03-26-R1-N1-B	19-03-26-R1-N1-C	19-03-26-R1-N1-D	19-03-26-R1-N2-C	22-01-18-R1-N1-B	22-01-18-R1-N1-C	22-01-18-R1-N1-D	22-01-18-R1-N2-A	22-01-18-R1-N2-B	22-01-18-R1-N2-C	22-01-18-R1-N2-D	22-01-25-R1-N1-A	22-01-25-R1-N1-B	22-01-25-R1-N1-D	22-01-25-R1-N2-A	22-01-25-R1-N2-B	22-01-25-R1-N2-D	22-03-22-R1-N1-B	22-03-22-R1-N1-C	22-03-22-R1-N1-D	22-03-22-R1-N2-B	22-03-22-R1-N2-D	taxonomy
LOWRY-BTS-46	0	0	0	0	0	167	65	232	221	121	80	277	180	107	85	68	49	91	121	60	98	117	140	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured
LOWRY-BTS-47	47	27	28	10	29	113	37	271	187	89	77	217	91	50	176	53	37	58	152	45	59	148	244	d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__uncultured; s__metagenome
LOWRY-BTS-48	346	621	465	54	120	0	41	0	54	0	79	66	60	0	62	58	0	57	0	68	75	0	65	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Microtrichaceae; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-49	247	657	450	61	270	29	18	32	48	20	28	45	64	31	21	27	23	38	40	17	56	36	41	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium
LOWRY-BTS-50	478	425	505	91	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_bacterium
LOWRY-BTS-51	272	490	525	50	93	22	0	20	86	32	0	102	113	58	23	54	0	62	26	29	0	7	21	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured
LOWRY-BTS-52	155	337	326	61	141	61	30	48	109	34	72	97	101	48	29	20	27	41	54	0	55	52	61	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
LOWRY-BTS-53	0	0	13	61	13	47	56	32	265	40	25	203	283	116	13	60	86	96	107	82	94	42	69	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Parachlamydiaceae; g__Neochlamydia
LOWRY-BTS-54	175	332	624	50	62	6	14	9	58	27	15	72	127	59	14	23	17	44	47	30	21	15	22	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
LOWRY-BTS-55	201	487	399	63	221	0	23	57	36	0	0	69	66	0	0	26	23	30	28	37	0	38	40	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02; s__uncultured_bacterium
LOWRY-BTS-56	192	437	468	57	300	23	10	56	40	20	15	73	32	22	19	23	16	28	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
LOWRY-BTS-57	223	350	137	33	320	81	17	59	43	26	29	64	48	23	39	17	14	33	44	12	45	50	67	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
LOWRY-BTS-58	181	375	193	17	221	40	15	41	67	28	22	61	77	26	36	29	21	68	62	25	37	32	47	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae
LOWRY-BTS-59	152	372	529	34	124	7	4	20	53	25	0	51	83	34	0	38	21	63	32	11	32	18	14	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__uncultured_actinobacterium
LOWRY-BTS-60	341	559	310	62	69	10	11	6	31	5	11	21	37	41	0	7	0	25	27	23	28	14	16	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia; s__Pseudonocardia_sp.
LOWRY-BTS-61	212	326	309	80	122	62	0	0	110	0	64	132	91	77	0	0	0	0	55	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium
LOWRY-BTS-62	164	203	187	52	42	30	21	44	76	25	42	105	110	45	60	41	34	70	70	35	45	28	45	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__uncultured_bacterium
LOWRY-BTS-63	110	276	128	48	117	61	0	118	0	0	50	37	81	73	60	67	45	106	45	0	45	48	49	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__uncultured
LOWRY-BTS-64	159	417	314	37	162	22	14	27	64	29	11	36	33	19	18	13	12	30	44	9	16	16	12	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium
LOWRY-BTS-65	194	360	274	35	63	29	16	28	75	28	30	111	86	55	30	0	0	70	0	19	0	9	0	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__metagenome
LOWRY-BTS-66	204	344	416	37	130	0	0	0	44	23	12	40	44	27	8	21	15	57	26	10	28	10	17	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia
LOWRY-BTS-67	204	424	384	41	74	0	0	19	44	7	0	39	44	19	15	14	0	28	31	21	17	23	35	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium
LOWRY-BTS-68	156	336	139	32	113	49	17	72	51	27	28	76	75	49	46	27	24	38	29	20	26	27	29	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Immundisolibacterales; f__Immundisolibacteraceae; g__Immundisolibacter; s__uncultured_bacterium
LOWRY-BTS-69	160	314	233	43	183	39	16	57	80	19	17	51	51	32	40	17	0	32	20	19	0	36	24	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; s__uncultured_Saprospiraceae
LOWRY-BTS-70	169	513	293	24	156	34	0	55	45	19	21	38	53	14	0	0	0	0	0	0	23	0	23	d__Bacteria; p__Chloroflexi; c__OLB14; o__OLB14; f__OLB14; g__OLB14
LOWRY-BTS-71	110	239	119	14	51	47	13	89	77	34	25	59	99	35	68	45	29	94	39	30	27	38	55	d__Bacteria; p__Chloroflexi; c__TK10; o__TK10; f__TK10; g__TK10
LOWRY-BTS-72	175	296	258	23	89	17	0	23	34	14	17	72	72	30	16	12	21	62	43	25	27	27	24	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__metagenome
LOWRY-BTS-73	126	233	134	26	97	43	18	86	68	0	31	99	55	27	39	18	0	23	37	24	20	16	55	d__Bacteria; p__MBNT15; c__MBNT15; o__MBNT15; f__MBNT15; g__MBNT15; s__uncultured_soil
LOWRY-BTS-74	244	405	305	80	216	5	0	0	5	0	3	12	4	4	0	0	0	0	0	0	0	5	7	d__Bacteria; p__Patescibacteria; c__Gracilibacteria; o__JGI_0000069-P22; f__JGI_0000069-P22; g__JGI_0000069-P22
LOWRY-BTS-75	148	220	279	55	104	30	0	40	34	29	0	40	53	36	32	28	0	0	21	0	51	25	38	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02
LOWRY-BTS-76	0	0	0	0	0	121	61	96	88	24	22	90	41	23	57	25	44	32	27	22	15	162	274	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Simkaniaceae; g__uncultured; s__metagenome
LOWRY-BTS-77	128	253	193	21	156	14	0	38	31	21	11	45	62	32	29	10	10	45	25	0	23	18	23	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__metagenome
LOWRY-BTS-78	165	259	263	41	96	15	0	18	58	13	0	58	58	34	11	22	0	42	15	8	0	7	16	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__metagenome
LOWRY-BTS-79	125	282	242	54	156	19	8	11	42	0	17	37	29	35	18	15	8	18	20	8	13	27	14	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured
LOWRY-BTS-80	110	202	148	41	48	18	12	30	82	0	17	53	74	45	19	33	31	53	48	25	23	25	41	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium
LOWRY-BTS-81	158	269	154	14	175	50	0	48	36	19	0	58	35	25	44	0	0	24	13	0	18	15	27	d__Bacteria; p__Myxococcota; c__Polyangia; o__Nannocystales; f__Nannocystaceae; g__Nannocystis; s__uncultured_Myxococcales
LOWRY-BTS-82	101	247	162	0	104	49	0	53	75	0	33	57	71	56	43	39	0	35	0	0	0	0	44	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ectothiorhodospirales; f__Thioalkalispiraceae; g__uncultured
LOWRY-BTS-83	0	0	0	95	0	0	59	0	236	81	0	134	60	0	0	0	40	54	88	101	54	42	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ectothiorhodospirales; f__Thioalkalispiraceae; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-84	86	341	111	31	46	37	26	12	56	13	34	29	45	21	18	16	8	47	44	14	11	28	35	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__Stenotrophobacter
LOWRY-BTS-85	56	100	55	16	72	76	16	105	57	36	19	121	50	33	37	9	7	31	55	16	52	41	62	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_bacterium
LOWRY-BTS-86	54	80	85	35	0	59	48	0	0	27	25	87	128	73	0	68	39	69	0	38	61	51	60	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__Candidatus_Alysiosphaera; s__metagenome
LOWRY-BTS-87	118	146	74	13	111	54	16	26	36	21	17	52	50	33	31	20	16	43	41	18	24	45	70	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__Sandaracinus; s__uncultured_bacterium
LOWRY-BTS-88	59	77	135	27	39	20	10	20	81	25	23	79	86	37	22	14	23	30	38	23	34	34	43	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__cvE6; g__cvE6
LOWRY-BTS-89	151	202	273	57	104	28	0	15	31	0	11	32	29	31	15	12	8	21	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium
LOWRY-BTS-90	113	142	102	21	18	15	19	34	41	13	12	82	97	43	15	42	21	41	35	23	14	24	21	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiales_Incertae_Sedis; g__Nordella; s__Nordella_oligomobilis
LOWRY-BTS-91	147	226	174	0	41	41	0	72	68	0	0	90	76	0	41	0	0	33	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Defluviicoccales; f__uncultured; g__uncultured; s__uncultured_Rhizobiales
LOWRY-BTS-92	62	220	82	6	53	24	15	42	39	16	9	34	72	27	23	32	20	78	22	9	14	25	43	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Isosphaerales; f__Isosphaeraceae; g__Isosphaera
LOWRY-BTS-93	39	65	85	24	21	35	28	39	74	36	21	64	61	45	36	20	27	52	40	42	32	27	42	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
LOWRY-BTS-94	94	129	161	0	51	0	0	79	69	0	0	83	73	0	61	0	0	60	65	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Tistrellales; f__Geminicoccaceae; g__Candidatus_Alysiosphaera; s__metagenome
LOWRY-BTS-95	85	146	103	0	0	0	0	39	120	37	0	112	103	48	0	0	0	90	65	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__uncultured_bacterium
LOWRY-BTS-96	147	262	335	35	92	0	0	0	0	0	0	23	0	15	0	0	0	0	12	0	0	0	0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__uncultured; s__metagenome
LOWRY-BTS-97	96	166	245	20	67	11	0	25	38	22	12	31	45	22	12	20	0	29	21	14	0	10	10	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84
LOWRY-BTS-98	110	205	238	47	178	11	0	18	23	11	0	0	13	0	0	13	0	27	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gemmobacter
LOWRY-BTS-99	89	229	118	30	136	12	10	47	24	8	7	17	35	8	17	16	11	16	0	0	0	5	0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__DEV007; g__DEV007; s__uncultured_bacterium
LOWRY-BTS-100	86	159	211	29	123	25	0	16	9	0	0	16	21	0	0	0	0	12	21	23	0	19	15	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudolabrys; s__uncultured_bacterium
LOWRY-BTS-101	75	222	122	33	111	24	6	38	15	7	12	20	22	24	8	8	0	11	5	0	0	11	21	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Parvularculaceae; g__Amphiplicatus; s__uncultured_Alphaproteobacteria
LOWRY-BTS-102	68	126	94	0	67	26	22	29	13	23	19	40	43	41	21	22	0	43	14	36	0	10	21	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__uncultured
LOWRY-BTS-103	68	174	172	35	68	0	0	0	33	13	14	32	40	0	11	10	0	22	19	0	0	0	20	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__metagenome
LOWRY-BTS-104	68	68	72	18	36	44	0	46	43	37	16	47	20	19	27	17	0	22	23	16	22	20	22	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
LOWRY-BTS-105	55	164	48	14	102	16	6	29	42	13	8	43	24	14	14	18	14	25	25	0	0	8	17	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-106	90	193	61	0	75	34	0	32	45	21	18	33	16	18	19	17	0	15	0	0	0	8	18	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Immundisolibacterales; f__Immundisolibacteraceae; g__Immundisolibacter
LOWRY-BTS-107	106	299	170	35	63	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__uncultured_bacterium
